future_break_up,future_break_down,pullback_pips,pullback_pct_of_range
1,0,11316599.99999989,91.79740099612178
1,0,3938899.9999999944,32.05772001074305
1,0,2538000.000000029,86.80781201901505
1,0,5209799.999999959,178.19201696479746
1,1,8186900.000000023,333.1936022139844
1,1,8186900.000000023,322.5728920409744
1,0,13184599.999999918,97.23730013570074
1,0,13184599.999999918,114.75347056007617
1,0,38277099.99999992,273.0158843374845
1,0,35763600.00000001,254.92985857664152
1,0,34778699.999999955,263.7827465376285
1,0,19926800.000000075,52.05932528848872
1,0,17036199.999999955,43.08718755453479
1,1,11982299.999999959,139.68477868059114
1,1,11982299.999999959,174.6410925361815
1,0,10661300.000000047,125.90698663139412
1,1,13250000.0,110.57977183011647
1,1,18019199.99999998,150.38181317443264
1,0,8682599.999999948,61.8784609135027
1,0,7332900.000000082,39.574833236189846
1,0,8087600.000000093,44.35401607967501
1,0,6961100.000000006,41.95455641272913
1,0,11141699.999999983,108.28854396485524
1,0,10198699.999999953,126.10292299322217
1,0,14183000.00000003,137.76456760983285
1,0,5520700.00000007,66.05446409342264
1,0,6629100.000000035,75.5763048088109
1,0,4585800.000000018,72.35405490691065
1,0,4720199.999999896,85.50002717046455
1,0,10239599.999999918,154.4644069330658
1,0,10521199.999999953,155.03816568919316
1,0,8548600.000000006,181.1067327655649
1,0,4514900.000000052,44.092542677449195
1,0,7009000.000000088,99.1175721922122
1,0,5492900.000000082,86.6839206527072
1,1,19839099.999999963,299.1826393810973
1,1,23647300.000000034,423.58936696163533
1,0,18342299.99999996,106.32724279453718
1,0,11295899.999999965,56.937562691855916
1,0,6937599.999999948,29.337810236263493
1,0,6775299.999999989,25.142125575181833
1,0,7687799.999999989,41.91295530004419
1,0,10308899.999999994,80.36499423118929
1,1,14003800.000000047,192.58210022553465
1,0,19250199.999999896,105.78892992174431
1,0,19250199.999999896,124.14918384852017
1,0,17689799.99999996,136.01574694172604
1,0,20076699.99999998,109.8462009837442
1,0,20076699.99999998,119.90313005775133
1,0,18353499.999999914,105.24218288578003
1,0,10545000.0,57.45498133870951
1,0,15803199.999999924,197.22690229260851
1,0,11913799.999999901,155.03676231374774
1,0,7914799.999999959,75.05737316263593
1,0,11759199.999999983,113.5924112015927
1,1,17247700.00000004,240.6409576694515
1,0,12461399.999999994,101.53590430949538
1,0,8235700.00000007,61.52059102555525
1,1,9273899.999999994,154.6629532036968
1,0,7813699.999999953,107.97921589762592
1,0,6683699.999999953,93.28132196340599
1,0,8064100.000000035,86.9547870906527
1,0,8064100.000000035,86.9547870906527
1,0,8064100.000000035,103.20462776917572
1,0,2250200.000000041,159.95166334943985
1,1,2283999.999999942,193.87148798913393
1,0,3145900.000000111,253.3134712939892
1,0,3899800.000000105,173.30903919651738
1,0,5863300.000000018,256.7119089317061
1,0,5116800.000000075,131.19327213989084
1,0,5116800.000000075,131.2067285501805
1,0,2904100.000000035,49.00938301606546
1,0,11394900.000000052,198.91594658287906
1,0,11394900.000000052,208.48397248243745
1,0,9940700.00000007,196.58472917120068
1,0,18008600.000000007,158.04087793662012
1,0,20621600.000000034,180.9721893127622
1,0,20065399.999999937,201.85097628939403
1,0,6157899.999999936,32.420408657516035
1,0,13899300.000000076,67.40165651549857
1,0,13899300.000000076,69.2699871420461
1,0,12534900.000000052,203.5580311469849
1,0,11667899.999999937,83.94595411279613
1,0,11667899.999999937,83.94595411279613
1,0,9565800.000000017,76.31333317377863
1,1,11837900.000000082,142.74741043543483
1,0,20661199.999999955,142.23990747370152
1,0,43627300.000000104,333.8764358799755
1,0,37028300.000000015,280.8983394148144
1,0,27547200.00000001,113.36109693667629
1,0,13485200.000000041,159.98576343575908
1,1,20000000.0,315.1988904999034
1,1,20000000.0,331.7189676905655
1,0,6717099.999999918,68.9704387469057
1,0,9023000.00000003,142.03185996725924
1,1,18008600.000000007,224.69462362908135
1,1,20249000.000000086,252.64825882441087
1,1,20249000.000000086,224.41538291034044
1,0,8339000.000000088,46.30565396532814
1,0,14077799.999999989,69.52343325596291
1,0,14837899.999999937,73.27719887401784
1,0,14837899.999999937,71.7909638962265
1,0,10156100.000000006,106.29094714809007
1,0,15971100.000000006,185.44308206771524
1,0,13787799.999999989,161.6086079984989
1,0,10155999.999999912,96.43084343755534
1,0,10144700.000000011,54.400716426874716
1,0,6348099.999999977,39.74741877516248
1,0,7425599.999999977,53.856307750329876
1,1,6753800.000000047,184.37389096667002
1,0,11265399.999999937,252.80850968335366
1,0,9551399.999999994,214.34438185857547
1,0,8373399.999999965,123.98057389913689
1,1,10368800.000000047,187.58910156673932
1,0,17030899.999999966,272.87424094339065
1,0,17885099.999999948,349.2706075341204
1,0,20753499.999999914,200.15334464933088
1,0,16613999.999999942,91.43593045717887
1,0,27720000.0,149.08916844602024
1,0,18023899.999999993,66.24363709870096
1,0,14524399.999999877,69.9853036837157
1,0,9053000.00000003,32.658730158730265
1,0,9053000.00000003,50.22775314998438
1,0,9053000.00000003,62.3295970917911
1,0,12831399.999999994,134.097630817144
1,0,17709799.99999996,195.62355020435106
1,0,17709799.99999996,195.62355020435106
1,1,21077299.99999996,140.17890396381935
1,0,8437099.999999918,99.67040756054246
1,0,16714100.000000035,188.00166471699984
1,0,14465700.00000007,171.45346149743645
1,0,12946800.000000076,153.45083026158517
1,0,8445200.000000041,50.52739902238243
1,0,8445200.000000041,50.52739902238243
1,0,19526199.999999955,108.13406138203672
1,0,15509700.000000011,90.22723041839225
1,0,12297899.999999937,71.54267696746807
1,0,8269499.999999971,38.690796461004915
1,0,17823300.00000002,187.27461858529816
1,0,15977500.0,263.0950616674041
1,0,24309300.000000075,400.29145877586893
1,0,29616699.99999998,165.945918687525
1,0,27733699.999999955,155.6036199805868
1,0,12395899.999999965,46.49746992606681
