feature,target,pearson_r,pearson_p,spearman_r,spearman_p,n,abs_spearman
C2_high,C7_return,-0.05299162906096003,0.002238291008156167,-0.05956151170255555,0.0005898400486048409,3325,0.05956151170255555
H4_1_high,C7_return,-0.05286073327478426,0.0022954009949795375,-0.05951614452720931,0.0005955746553965821,3325,0.05951614452720931
C1_low,C7_return,-0.05353054353492781,0.0020166107486012303,-0.05942855739631151,0.0006067930700795824,3325,0.05942855739631151
window_high,C7_high_excursion,-0.052143327220585504,0.0026327923784755115,-0.059389793449016154,0.0006118205514793852,3325,0.059389793449016154
H4_return_change,C5_high_excursion,-0.008277293464483417,0.6332761514027879,-0.05930737823395909,0.0006226383938678415,3325,0.05930737823395909
all_bearish,C6_low_excursion,0.03951961092631926,0.02267626345680154,0.059229093813532044,0.0006330785150853556,3325,0.059229093813532044
H4_1_open,C7_return,-0.05363596203196702,0.001975676399434447,-0.059131010092350805,0.0006463888331251472,3325,0.059131010092350805
C1_open,C7_return,-0.05363596203196702,0.001975676399434447,-0.059131010092350805,0.0006463888331251472,3325,0.059131010092350805
C1_volume,C7_high_excursion,-0.0145432059022487,0.40184473169386387,-0.05888914168920044,0.0006803310389765532,3325,0.05888914168920044
H4_2_body,C5_low_excursion,0.07718907550190293,8.353626696606156e-06,0.05886464819498524,0.0006838591021064631,3325,0.05886464819498524
C4_vs_avg_range,C7_high_excursion,0.017984985524357244,0.2998482983909181,0.05855804343785872,0.000729484902485807,3325,0.05855804343785872
C4_return,C5_return,-0.034190841868122386,0.048680979742220604,-0.05850997471268728,0.0007368891676172529,3325,0.05850997471268728
C1_volume,C6_high_excursion,-0.012248882319768919,0.4801471430690411,-0.05849426243477014,0.0007393244987729885,3325,0.05849426243477014
H4_1_trades,C5_high_excursion,-0.05438170247907914,0.0017071861463759002,-0.058260659047650536,0.0007764245902811854,3325,0.058260659047650536
C2_lower_wick,C6_high_excursion,-0.058039948426055483,0.000813057295349655,-0.058142289424446214,0.0007958762401089521,3325,0.058142289424446214
C4_close_location,C7_return,-0.0364116327278448,0.03577250612881662,-0.05762370058094381,0.0008865426878765684,3325,0.05762370058094381
C1_body,C5_low_excursion,0.07857301581134159,5.7317206993367146e-06,0.05731286726002255,0.0009453806297159046,3325,0.05731286726002255
H4_2_upper_wick_ratio,C6_high_excursion,0.03153269153098558,0.06905922932138464,0.05717618977814031,0.0009723798354319662,3325,0.05717618977814031
C4_break_C3_low,C6_return,0.020591226623271786,0.23521679544983348,0.05715966161159779,0.0009756927390560641,3325,0.05715966161159779
C4_body,C7_high_excursion,-0.05295271532005193,0.002255131680219724,-0.05713048016626137,0.0009815673824158093,3325,0.05713048016626137
H4_2_high,C7_high_excursion,-0.050019232133892234,0.003914497267049204,-0.057008995151311595,0.0010063776151260663,3325,0.057008995151311595
C7_range,C6_high_excursion,0.08873006959877851,2.9815160034878634e-07,0.056897380339078756,0.0010296823078747132,3325,0.056897380339078756
C4_high,C7_high_excursion,-0.049156872578186,0.004580105784670678,-0.056864805340803994,0.0010365773480599811,3325,0.056864805340803994
H4_return_change,C7_high_excursion,-0.01265474640236756,0.46571842686415155,-0.0567022278059825,0.0010716325076475092,3325,0.0567022278059825
C1_range,C7_return,0.0063071822834663595,0.7161890364260687,-0.056638307043665605,0.0010857129345369807,3325,0.056638307043665605
C2_body,C5_low_excursion,0.08419414410190379,1.1639395702134317e-06,0.056593373934179486,0.0010957129323511722,3325,0.056593373934179486
H4_2_close,C7_high_excursion,-0.04795756507114215,0.005676249701137604,-0.056554488099807114,0.0011044357434137927,3325,0.056554488099807114
C4_close,C7_high_excursion,-0.04795756507114215,0.005676249701137604,-0.056554488099807114,0.0011044357434137927,3325,0.056554488099807114
H4_1_lower_wick,C5_high_excursion,-0.0782479920757166,6.265389173381111e-06,-0.05649897358217903,0.0011169999370339633,3325,0.05649897358217903
H4_2_return,C5_return,-0.02972863891757388,0.08653401712503594,-0.05633842377562832,0.0011540832347844534,3325,0.05633842377562832
C4_range,C6_high_excursion,-0.06174072556120003,0.00036775464517372583,-0.05615952498881,0.0011967425040406467,3325,0.05615952498881
C1_trades,C5_high_excursion,-0.04472210949497919,0.009905140081347595,-0.056145686120944005,0.00120010238973809,3325,0.056145686120944005
