pattern,target,n,baseline,conditional,edge,abs_edge
C4_break_C3_low,future_break_down,1524,0.4087218045112782,0.5354330708661418,0.12671126635486357,0.12671126635486357
positive_directional_imbalance,C6_direction,147,0.48330827067669174,0.3673469387755102,-0.11596133190118152,0.11596133190118152
all_bullish,C6_direction,132,0.48330827067669174,0.3712121212121212,-0.11209614946457053,0.11209614946457053
C4_break_C3_high,future_break_down,1541,0.4087218045112782,0.30953926022063594,-0.09918254429064227,0.09918254429064227
C4_break_C3_low,future_break_up,1524,0.4,0.3038057742782152,-0.09619422572178482,0.09619422572178482
positive_directional_imbalance,C5_direction,147,0.4830075187969925,0.3877551020408163,-0.09525241675617618,0.09525241675617618
high_contraction,future_break_down,882,0.4087218045112782,0.3321995464852608,-0.07652225802601742,0.07652225802601742
all_bullish,C5_direction,132,0.4830075187969925,0.4090909090909091,-0.07391660970608338,0.07391660970608338
H4_bearish_engulf,C7_direction,215,0.48330827067669174,0.5488372093023256,0.06552893862563386,0.06552893862563386
close_near_high,C5_direction,709,0.4830075187969925,0.41748942172073344,-0.06551809707625905,0.06551809707625905
H4_bearish_engulf,C6_direction,215,0.48330827067669174,0.5441860465116279,0.0608777758349362,0.0608777758349362
close_near_low,C5_direction,680,0.4830075187969925,0.5411764705882353,0.05816895179124276,0.05816895179124276
close_near_high,C6_direction,709,0.48330827067669174,0.4301833568406206,-0.05312491383607115,0.05312491383607115
C4_inside_C3,future_break_up,652,0.4,0.348159509202454,-0.051840490797546046,0.051840490797546046
last2_bearish,C5_direction,813,0.4830075187969925,0.5325953259532595,0.04958780715626704,0.04958780715626704
high_contraction,future_break_up,882,0.4,0.3526077097505669,-0.047392290249433144,0.047392290249433144
H4_inside,future_break_down,693,0.4087218045112782,0.36363636363636365,-0.04508544087491456,0.04508544087491456
strong_expansion,C5_direction,707,0.4830075187969925,0.5261669024045261,0.04315938360753363,0.04315938360753363
last2_bullish,C5_direction,723,0.4830075187969925,0.4426002766251729,-0.040407242171819624,0.040407242171819624
last2_bearish,C6_direction,813,0.48330827067669174,0.5190651906519065,0.03575691997521474,0.03575691997521474
all_bearish,C7_direction,160,0.48330827067669174,0.51875,0.0354417293233083,0.0354417293233083
negative_directional_imbalance,C7_direction,166,0.48330827067669174,0.5180722891566265,0.034764018479934766,0.034764018479934766
last2_bullish,C6_direction,723,0.48330827067669174,0.44951590594744123,-0.03379236472925051,0.03379236472925051
C4_break_C3_high,C6_direction,1541,0.48330827067669174,0.45035691109669046,-0.03295135958000128,0.03295135958000128
strong_expansion,future_break_up,707,0.4,0.4328147100424328,0.032814710042432804,0.032814710042432804
C4_break_C3_low,C6_direction,1524,0.48330827067669174,0.515748031496063,0.03243976081937122,0.03243976081937122
