zone,direction,level_pips,n,hit_probability,median_mfe_pips,p75_mfe_pips
40-50%,down,500,287,0.9547038327526133,85061.00000000006,181955.4999999993
40-50%,down,750,287,0.9547038327526133,85061.00000000006,181955.4999999993
40-50%,down,800,287,0.9547038327526133,85061.00000000006,181955.4999999993
40-50%,down,1000,287,0.9547038327526133,85061.00000000006,181955.4999999993
40-50%,down,1500,287,0.9477351916376306,85061.00000000006,181955.4999999993
40-50%,down,2000,287,0.9442508710801394,85061.00000000006,181955.4999999993
50-60%,up,50,311,0.977491961414791,84483.00000000017,169461.00000000006
50-60%,up,100,311,0.977491961414791,84483.00000000017,169461.00000000006
50-60%,up,250,311,0.977491961414791,84483.00000000017,169461.00000000006
50-60%,up,500,311,0.977491961414791,84483.00000000017,169461.00000000006
50-60%,up,750,311,0.9742765273311897,84483.00000000017,169461.00000000006
50-60%,up,800,311,0.9742765273311897,84483.00000000017,169461.00000000006
50-60%,up,1000,311,0.9742765273311897,84483.00000000017,169461.00000000006
50-60%,up,1500,311,0.9678456591639871,84483.00000000017,169461.00000000006
50-60%,up,2000,311,0.9678456591639871,84483.00000000017,169461.00000000006
50-60%,down,50,311,0.9710610932475884,89377.99999999988,173381.9999999996
50-60%,down,100,311,0.9710610932475884,89377.99999999988,173381.9999999996
50-60%,down,250,311,0.9710610932475884,89377.99999999988,173381.9999999996
50-60%,down,500,311,0.9678456591639871,89377.99999999988,173381.9999999996
50-60%,down,750,311,0.9678456591639871,89377.99999999988,173381.9999999996
50-60%,down,800,311,0.9678456591639871,89377.99999999988,173381.9999999996
50-60%,down,1000,311,0.9646302250803859,89377.99999999988,173381.9999999996
50-60%,down,1500,311,0.9646302250803859,89377.99999999988,173381.9999999996
50-60%,down,2000,311,0.9646302250803859,89377.99999999988,173381.9999999996
60-75%,up,50,518,0.9633204633204633,77640.99999999999,145442.5000000003
60-75%,up,100,518,0.9633204633204633,77640.99999999999,145442.5000000003
60-75%,up,250,518,0.9613899613899614,77640.99999999999,145442.5000000003
60-75%,up,500,518,0.9613899613899614,77640.99999999999,145442.5000000003
60-75%,up,750,518,0.9613899613899614,77640.99999999999,145442.5000000003
60-75%,up,800,518,0.9613899613899614,77640.99999999999,145442.5000000003
60-75%,up,1000,518,0.9613899613899614,77640.99999999999,145442.5000000003
60-75%,up,1500,518,0.9594594594594594,77640.99999999999,145442.5000000003
60-75%,up,2000,518,0.9594594594594594,77640.99999999999,145442.5000000003
60-75%,down,50,518,0.9787644787644788,77068.99999999987,167618.9999999995
60-75%,down,100,518,0.9768339768339769,77068.99999999987,167618.9999999995
60-75%,down,250,518,0.9768339768339769,77068.99999999987,167618.9999999995
60-75%,down,500,518,0.974903474903475,77068.99999999987,167618.9999999995
60-75%,down,750,518,0.974903474903475,77068.99999999987,167618.9999999995
60-75%,down,800,518,0.974903474903475,77068.99999999987,167618.9999999995
60-75%,down,1000,518,0.974903474903475,77068.99999999987,167618.9999999995
60-75%,down,1500,518,0.971042471042471,77068.99999999987,167618.9999999995
60-75%,down,2000,518,0.9691119691119691,77068.99999999987,167618.9999999995
75-90%,up,50,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,100,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,250,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,500,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,750,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,800,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,1000,551,0.9655172413793104,84691.99999999983,162387.99999999936
75-90%,up,1500,551,0.9618874773139746,84691.99999999983,162387.99999999936
75-90%,up,2000,551,0.9618874773139746,84691.99999999983,162387.99999999936
75-90%,down,50,551,0.9727767695099818,81533.00000000017,177683.00000000017
75-90%,down,100,551,0.9727767695099818,81533.00000000017,177683.00000000017
75-90%,down,250,551,0.9727767695099818,81533.00000000017,177683.00000000017
75-90%,down,500,551,0.9727767695099818,81533.00000000017,177683.00000000017
75-90%,down,750,551,0.9709618874773139,81533.00000000017,177683.00000000017
75-90%,down,800,551,0.9709618874773139,81533.00000000017,177683.00000000017
75-90%,down,1000,551,0.9709618874773139,81533.00000000017,177683.00000000017
75-90%,down,1500,551,0.969147005444646,81533.00000000017,177683.00000000017
75-90%,down,2000,551,0.9637023593466425,81533.00000000017,177683.00000000017
90-100%,up,50,329,0.9513677811550152,69076.0000000002,137261.0000000008
90-100%,up,100,329,0.9513677811550152,69076.0000000002,137261.0000000008
90-100%,up,250,329,0.9513677811550152,69076.0000000002,137261.0000000008
90-100%,up,500,329,0.9452887537993921,69076.0000000002,137261.0000000008
90-100%,up,750,329,0.9422492401215805,69076.0000000002,137261.0000000008
90-100%,up,800,329,0.9422492401215805,69076.0000000002,137261.0000000008
90-100%,up,1000,329,0.9422492401215805,69076.0000000002,137261.0000000008
90-100%,up,1500,329,0.9361702127659575,69076.0000000002,137261.0000000008
90-100%,up,2000,329,0.9331306990881459,69076.0000000002,137261.0000000008
90-100%,down,50,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,100,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,250,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,500,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,750,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,800,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,1000,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,1500,329,0.9696048632218845,84619.00000000023,181406.99999999997
90-100%,down,2000,329,0.9696048632218845,84619.00000000023,181406.99999999997
