zone,direction,reference,level_pips,n,hit_probability,median_projection_pips,p75_projection_pips,p90_projection_pips
10-25%,up,C5C6_high,800,546,0.326007326007326,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,1000,546,0.326007326007326,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,1500,546,0.32234432234432236,0.0,7627.25000000064,39111.000000000786
10-25%,up,C5C6_high,2000,546,0.31684981684981683,0.0,7627.25000000064,39111.000000000786
10-25%,down,C5C6_low,50,546,0.34615384615384615,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,100,546,0.3443223443223443,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,250,546,0.33882783882783885,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,500,546,0.33882783882783885,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,750,546,0.336996336996337,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,800,546,0.336996336996337,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,1000,546,0.32967032967032966,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,1500,546,0.32234432234432236,0.0,10200.500000000102,42621.00000000064
10-25%,down,C5C6_low,2000,546,0.30952380952380953,0.0,10200.500000000102,42621.00000000064
25-40%,up,C5C6_high,50,475,0.3684210526315789,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,100,475,0.3663157894736842,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,250,475,0.36210526315789476,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,500,475,0.35789473684210527,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,750,475,0.35368421052631577,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,800,475,0.35368421052631577,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,1000,475,0.35157894736842105,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,1500,475,0.3473684210526316,0.0,11070.999999999913,36818.80000000065
25-40%,up,C5C6_high,2000,475,0.3452631578947368,0.0,11070.999999999913,36818.80000000065
25-40%,down,C5C6_low,50,475,0.3136842105263158,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,100,475,0.31157894736842107,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,250,475,0.30736842105263157,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,500,475,0.29894736842105263,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,750,475,0.2968421052631579,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,800,475,0.2968421052631579,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,1000,475,0.28842105263157897,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,1500,475,0.28,0.0,4592.499999999563,38181.19999999999
25-40%,down,C5C6_low,2000,475,0.27578947368421053,0.0,4592.499999999563,38181.19999999999
40-50%,up,C5C6_high,50,289,0.3391003460207612,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,100,289,0.3391003460207612,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,250,289,0.3356401384083045,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,500,289,0.32525951557093424,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,750,289,0.31833910034602075,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,800,289,0.31833910034602075,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,1000,289,0.31833910034602075,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,1500,289,0.314878892733564,0.0,11984.000000000378,39445.59999999938
40-50%,up,C5C6_high,2000,289,0.314878892733564,0.0,11984.000000000378,39445.59999999938
